Index,day,biomassH,day,biomassHF,day,biomass2015,day,yieldH,day,yieldHF,day,yield2015,day,laiH,day,laiHF,day,lai2015,day,biomassM,day,biomassM,biomassMStdError,day,laiM,day,laiM,laiMStdError,Index,day,SAT ,day,SW2015,day,DUL ,day,LL ,day,NO32015,day,ST2015,day,SWM,day,SWM,SWMStdError,day,NO3M,day,NO3M,NO3MStdError,day,STM,day,STM,STMStdError
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,144,63,144,63,8,144,0.01,144,0.01,0.01,0,1,139.2,1,90.1,1,98.4,1,56.9,1,8.128,1,0,121,89.929,121,89.929,4.496,121,90.436,121,90.436,4.522,121,7.626,121,7.626,0.381
1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,153,146,153,146,10,153,0.2,153,0.2,0.01,1,2,139.2,2,89.459,2,98.4,2,56.9,2,8.162,2,1.522,122,94.923,122,94.923,4.746,129,96.387,129,96.387,4.819,122,6.978,122,6.978,0.349
2,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,163,801,163,801,151,163,0.99,163,0.99,0.3,2,3,139.2,3,89.296,3,98.4,3,56.9,3,8.165,3,-1.305,123,94.44,123,94.44,4.722,136,100.256,136,100.256,5.28,123,7.4,123,7.4,0.37
3,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,171,"2,100",171,"2,100",380,171,2.4,171,2.4,0.6,3,4,139.2,4,88.893,4,98.4,4,56.9,4,8.163,4,-1.417,124,94.682,124,94.682,4.734,145,108.269,145,108.269,5.413,124,7.189,124,7.189,0.359
4,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,,,,,,,,,,4,5,139.2,5,88.851,5,98.4,5,56.9,5,8.161,5,-5.87,125,83.3,125,83.3,4.165,153,107.675,153,107.675,5.384,125,11.691,125,11.691,0.585
5,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,,,,,,,,,,,5,6,139.2,6,88.838,6,98.4,6,56.9,6,8.16,6,-9.787,126,86.169,126,86.169,4.308,160,90.368,160,90.368,5.963,126,11.371,126,11.371,0.569
6,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,,,,,,,,,,,6,7,139.2,7,88.819,7,98.4,7,56.9,7,8.158,7,-12.172,127,80.432,127,80.432,4.022,169,82.583,169,82.583,4.129,127,12.011,127,12.011,0.601
7,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,,,,,,,,,,,7,8,139.2,8,88.81,8,98.4,8,56.9,8,8.157,8,-14.165,128,75.814,128,75.814,3.791,,,,,,128,12.356,128,12.356,0.618
8,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,,,,,,,,,,,8,9,139.2,9,88.766,9,98.4,9,56.9,9,8.156,9,-12.627,129,77.362,129,77.362,3.868,,,,,,129,13.894,129,13.894,0.695
9,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,,,,,,,,,,,9,10,139.2,10,88.751,10,98.4,10,56.9,10,8.155,10,-12.913,130,76.588,130,76.588,3.829,,,,,,130,13.125,130,13.125,0.656
