Index,day,biomass,day,biomass,day,yield,day,yield,day,lai,day,lai,day,biomass,day,biomass,StdError,day,lai,day,lai,StdError,biomassMStdError,day,laiM,day,laiM,laiMStdError,Index,day,SAT_30cm,day,SW_30cm,day,DUL_30cm,day,LL_30cm,day,NO3_30cm,day,ST_30cm,day,SW_30cm,day,SW_30cm,StdError,day,NO3_30cm,day,NO3_30cm,StdError,day,ST_30cm,day,ST_30cm,StdError
0,1,0,1,0,1,0,1,0,1,0,1,0,144,63,144,63,8,144,0.01,144,0.01,0.01,8,144,0.01,144,0.01,0.01,0,1,164.1,1,108.9,1,118.8,1,69.3,1,33.001,1,0,121,89.929,121,89.929,4.496,121,90.436,121,90.436,4.522,121,7.626,121,7.626,0.381
1,2,0,2,0,2,0,2,0,2,0,2,0,153,146,153,146,10,153,0.2,153,0.2,0.01,10,153,0.2,153,0.2,0.01,1,2,164.1,2,108.76,2,118.8,2,69.3,2,32.983,2,-0.07,122,94.923,122,94.923,4.746,129,96.387,129,96.387,4.819,122,6.978,122,6.978,0.349
2,3,0,3,0,3,0,3,0,3,0,3,0,163,801,163,801,151,163,0.99,163,0.99,0.3,151,163,0.99,163,0.99,0.3,2,3,164.1,3,108.617,3,118.8,3,69.3,3,32.962,3,-2.397,123,94.44,123,94.44,4.722,136,100.256,136,100.256,5.28,123,7.4,123,7.4,0.37
3,4,0,4,0,4,0,4,0,4,0,4,0,171,"2,100",171,"2,100",380,171,2.4,171,2.4,1,380,171,2.4,171,2.4,0.6,3,4,164.1,4,108.758,4,118.8,4,69.3,4,32.943,4,-4.055,124,94.682,124,94.682,4.734,145,108.269,145,108.269,5.413,124,7.189,124,7.189,0.359
4,5,0,5,0,5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,4,5,164.1,5,108.735,5,118.8,5,69.3,5,32.922,5,-9.174,125,83.3,125,83.3,4.165,153,107.675,153,107.675,5.384,125,11.691,125,11.691,0.585
5,6,0,6,0,6,0,6,0,6,0,6,0,,,,,,,,,,,,,,,,,5,6,164.1,6,108.716,6,118.8,6,69.3,6,32.901,6,-12.119,126,86.169,126,86.169,4.308,160,90.368,160,90.368,5.963,126,11.371,126,11.371,0.569
6,7,0,7,0,7,0,7,0,7,0,7,0,,,,,,,,,,,,,,,,,6,7,164.1,7,108.692,7,118.8,7,69.3,7,32.88,7,-13.488,127,80.432,127,80.432,4.022,169,82.583,169,82.583,4.129,127,12.011,127,12.011,0.601
7,8,0,8,0,8,0,8,0,8,0,8,0,,,,,,,,,,,,,,,,,7,8,164.1,8,108.672,8,118.8,8,69.3,8,32.86,8,-15.44,128,75.814,128,75.814,3.791,,,,,,128,12.356,128,12.356,0.618
8,9,0,9,0,9,0,9,0,9,0,9,0,,,,,,,,,,,,,,,,,8,9,164.1,9,108.618,9,118.8,9,69.3,9,32.84,9,-12.675,129,77.362,129,77.362,3.868,,,,,,129,13.894,129,13.894,0.695
9,10,0,10,0,10,0,10,0,10,0,10,0,,,,,,,,,,,,,,,,,9,10,164.1,10,108.593,10,118.8,10,69.3,10,32.821,10,-13.118,130,76.588,130,76.588,3.829,,,,,,130,13.125,130,13.125,0.656
